Rank,University,Team Name,Problem Letter,Is Solved,Attempts,Problem Time,Total solved problems,Total Time,Year
1,SPb SU,"25 (Belichenko, Bykov, Petrov)",A,1,+4,230:24,10,1119,2019
1,SPb SU,"25 (Belichenko, Bykov, Petrov)",B,1,+,8:51,10,1119,2019
1,SPb SU,"25 (Belichenko, Bykov, Petrov)",C,0,0,0,10,1119,2019
1,SPb SU,"25 (Belichenko, Bykov, Petrov)",D,1,+4,149:14,10,1119,2019
1,SPb SU,"25 (Belichenko, Bykov, Petrov)",E,1,+,20:46,10,1119,2019
1,SPb SU,"25 (Belichenko, Bykov, Petrov)",F,1,+,174:38,10,1119,2019
1,SPb SU,"25 (Belichenko, Bykov, Petrov)",G,1,+,66:51,10,1119,2019
1,SPb SU,"25 (Belichenko, Bykov, Petrov)",H,0,0,0,10,1119,2019
1,SPb SU,"25 (Belichenko, Bykov, Petrov)",I,1,+4,141:56,10,1119,2019
1,SPb SU,"25 (Belichenko, Bykov, Petrov)",J,1,+,41:14,10,1119,2019
1,SPb SU,"25 (Belichenko, Bykov, Petrov)",K,1,+,36:56,10,1119,2019
1,SPb SU,"25 (Belichenko, Bykov, Petrov)",L,1,+,14:29,10,1119,2019
2,Nizhny Novgorod SU,"Almost Retired (Daniliuk, Kalinin, Ryabchikova)",A,1,+1,92:07,10,1168,2019
2,Nizhny Novgorod SU,"Almost Retired (Daniliuk, Kalinin, Ryabchikova)",B,1,+,8:24,10,1168,2019
2,Nizhny Novgorod SU,"Almost Retired (Daniliuk, Kalinin, Ryabchikova)",C,0,0,0,10,1168,2019
2,Nizhny Novgorod SU,"Almost Retired (Daniliuk, Kalinin, Ryabchikova)",D,1,+3,225:51,10,1168,2019
2,Nizhny Novgorod SU,"Almost Retired (Daniliuk, Kalinin, Ryabchikova)",E,1,+,38:44,10,1168,2019
2,Nizhny Novgorod SU,"Almost Retired (Daniliuk, Kalinin, Ryabchikova)",F,1,+,136:56,10,1168,2019
2,Nizhny Novgorod SU,"Almost Retired (Daniliuk, Kalinin, Ryabchikova)",G,1,+3,287:56,10,1168,2019
2,Nizhny Novgorod SU,"Almost Retired (Daniliuk, Kalinin, Ryabchikova)",H,0,0,0,10,1168,2019
2,Nizhny Novgorod SU,"Almost Retired (Daniliuk, Kalinin, Ryabchikova)",I,1,+,97:45,10,1168,2019
2,Nizhny Novgorod SU,"Almost Retired (Daniliuk, Kalinin, Ryabchikova)",J,1,+,23:04,10,1168,2019
2,Nizhny Novgorod SU,"Almost Retired (Daniliuk, Kalinin, Ryabchikova)",K,1,+,58:46,10,1168,2019
2,Nizhny Novgorod SU,"Almost Retired (Daniliuk, Kalinin, Ryabchikova)",L,1,+1,44:56,10,1168,2019
3,MIPT,"Godnotent (Belykh, Golovanov, Sergunin)",A,1,+,117:38,9,985,2019
3,MIPT,"Godnotent (Belykh, Golovanov, Sergunin)",B,1,+,19:51,9,985,2019
3,MIPT,"Godnotent (Belykh, Golovanov, Sergunin)",C,0,0,0,9,985,2019
3,MIPT,"Godnotent (Belykh, Golovanov, Sergunin)",D,1,+1,290:58,9,985,2019
3,MIPT,"Godnotent (Belykh, Golovanov, Sergunin)",E,1,+,31:46,9,985,2019
3,MIPT,"Godnotent (Belykh, Golovanov, Sergunin)",F,1,+,105:11,9,985,2019
3,MIPT,"Godnotent (Belykh, Golovanov, Sergunin)",G,0,0,0,9,985,2019
3,MIPT,"Godnotent (Belykh, Golovanov, Sergunin)",H,0,0,0,9,985,2019
3,MIPT,"Godnotent (Belykh, Golovanov, Sergunin)",I,1,+2,235:46,9,985,2019
3,MIPT,"Godnotent (Belykh, Golovanov, Sergunin)",J,1,+,37:55,9,985,2019
3,MIPT,"Godnotent (Belykh, Golovanov, Sergunin)",K,1,+,68:22,9,985,2019
3,MIPT,"Godnotent (Belykh, Golovanov, Sergunin)",L,1,+,23:56,9,985,2019
4,SPb ITMO,"1 Standard deviation (Budin, Kirillov, Sayutin)",A,1,+,140:51,9,992,2019
4,SPb ITMO,"1 Standard deviation (Budin, Kirillov, Sayutin)",B,1,+,13:05,9,992,2019
4,SPb ITMO,"1 Standard deviation (Budin, Kirillov, Sayutin)",C,0,0,0,9,992,2019
4,SPb ITMO,"1 Standard deviation (Budin, Kirillov, Sayutin)",D,1,+1,199:12,9,992,2019
