Problem Letter,Problem Name,Year
A,Apprentice Learning Trajectory,2019
B,Balls of Buma,2019
C,Cactus Revenge,2019
D,DevOps Best Practices,2019
E,Elections,2019
F,Foolprüf Security,2019
G,Game Relics,2019
H,Help BerLine,2019
I,Intriguing Selection,2019
J,Just Arrange the Icons,2019
K,Key Storage,2019
L,Lexicography,2019
A,ASCII Automata Art,2020
B,Button Lock,2020
C,Cactus Not Enough,2020
D,Digits,2020
E,Equilibrium Point /\/\,2020
F,Fiber Shape,2020
G,Guide,2020
H,Hard Optimization,2020
I,Is It Rated?,2020
J,Japanese Game,2020
K,King's Task,2020
A,Admissible Map,2021
B,Budget Distribution,2021
C,Connect the Points,2021
D,Deletive Editing,2021
E,Even Split,2021
F,Fancy Stack,2021
G,Global Warming,2021
H,Heroes of Might,2021
I,Interactive Treasure Hunt,2021
J,Job Lookup,2021
K,Kingdom Partition,2021
L,Labyrinth,2021
A,Amazing Trick,2022
B,BinCoin,2022
C,Cactus Meets Torus,2022
D,Dominoes,2022
E,Easy Assembly,2022
F,Football,2022
G,Game of Questions,2022
H,Hot and Cold,2022
I,Interactive Factorial Guessing,2022
J,Jumbled Trees,2022
K,King's Puzzle,2022
L,Lisa's Sequences,2022
